cve_id,cve_description,clean_cve_text
CVE-2000-0315,"traceroute in NetBSD 1.3.3 and Linux systems allows local unprivileged users to modify the source address of the packets, which could be used in spoofing attacks.",traceroute in netbsd 1 3 3 and linux systems allows local unprivileged users to modify the source address of the packets which could be used in spoofing attacks
CVE-2000-0506,"The ""capabilities"" feature in Linux before 2.2.16 allows local users to cause a denial of service or gain privileges by setting the capabilities to prevent a setuid program from dropping privileges, aka the ""Linux kernel setuid/setcap vulnerability.""",the capabilities feature in linux before 2 2 16 allows local users to cause a denial of service or gain privileges by setting the capabilities to prevent a setuid program from dropping privileges aka the linux kernel setuid setcap vulnerability
CVE-2000-1212,"Zope 2.2.0 through 2.2.4 does not properly protect a data updating method on Image and File objects, which allows attackers with DTML editing privileges to modify the raw data of these objects.",zope 2 2 0 through 2 2 4 does not properly protect a data updating method on image and file objects which allows attackers with dtml editing privileges to modify the raw data of these objects
CVE-2001-1166,"linprocfs on FreeBSD 4.3 and earlier does not properly restrict access to kernel memory, which allows one process with debugging rights on a privileged process to read restricted memory from that process.",linprocfs on freebsd 4 3 and earlier does not properly restrict access to kernel memory which allows one process with debugging rights on a privileged process to read restricted memory from that process
CVE-2001-1480,Java Runtime Environment (JRE) and SDK 1.2 through 1.3.0_04 allows untrusted applets to access the system clipboard.,java runtime environment jre and sdk 1 2 through 1 3 0 04 allows untrusted applets to access the system clipboard
CVE-2001-1551,"Linux kernel 2.2.19 enables CAP_SYS_RESOURCE for setuid processes, which allows local users to exceed disk quota restrictions during execution of setuid programs.",linux kernel 2 2 19 enables cap sys resource for setuid processes which allows local users to exceed disk quota restrictions during execution of setuid programs
CVE-2002-1145,"The xp_runwebtask stored procedure in the Web Tasks component of Microsoft SQL Server 7.0 and 2000, Microsoft Data Engine (MSDE) 1.0, and Microsoft Desktop Engine (MSDE) 2000 can be executed by PUBLIC, which allows an attacker to gain privileges by updating a webtask that is owned by the database owner through the msdb.dbo.mswebtasks table, which does not have strong permissions.",the xp runwebtask stored procedure in the web tasks component of microsoft sql server 7 0 and 2000 microsoft data engine msde 1 0 and microsoft desktop engine msde 2000 can be executed by public which allows an attacker to gain privileges by updating a webtask that is owned by the database owner through the msdb dbo mswebtasks table which does not have strong permissions
CVE-2002-1154,"anlgform.pl in Analog before 5.23 does not restrict access to the PROGRESSFREQ progress update command, which allows remote attackers to cause a denial of service (disk consumption) by using the command to report updates more frequently and fill the web server error log.",anlgform pl in analog before 5 23 does not restrict access to the progressfreq progress update command which allows remote attackers to cause a denial of service disk consumption by using the command to report updates more frequently and fill the web server error log
CVE-2002-1671,"Microsoft Internet Explorer 5.0, 5.01, and 5.5 allows remote attackers to monitor the contents of the clipboard via the getData method of the clipboardData object.",microsoft internet explorer 5 0 5 01 and 5 5 allows remote attackers to monitor the contents of the clipboard via the getdata method of the clipboarddata object
CVE-2002-1981,"Microsoft SQL Server 2000 through SQL Server 2000 SP2 allows the ""public"" role to execute the (1) sp_MSSetServerProperties or (2) sp_MSsetalertinfo stored procedures, which allows attackers to modify configuration including SQL server startup and alert settings.",microsoft sql server 2000 through sql server 2000 sp2 allows the public role to execute the 1 sp mssetserverproperties or 2 sp mssetalertinfo stored procedures which allows attackers to modify configuration including sql server startup and alert settings
CVE-2002-2042,"ptrace in the QNX realtime operating system (RTOS) 4.25 and 6.1.0 allows programs to attach to privileged processes, which could allow local users to execute arbitrary code by modifying running processes.",ptrace in the qnx realtime operating system rtos 4 25 and 6 1 0 allows programs to attach to privileged processes which could allow local users to execute arbitrary code by modifying running processes
CVE-2004-0380,"The MHTML protocol handler in Microsoft Outlook Express 5.5 SP2 through Outlook Express 6 SP1 allows remote attackers to bypass domain restrictions and execute arbitrary code, as demonstrated on Internet Explorer using script in a compiled help (CHM) file that references the InfoTech Storage (ITS) protocol handlers such as (1) ms-its, (2) ms-itss, (3) its, or (4) mk:@MSITStore, aka the ""MHTML URL Processing Vulnerability.""",the mhtml protocol handler in microsoft outlook express 5 5 sp2 through outlook express 6 sp1 allows remote attackers to bypass domain restrictions and execute arbitrary code as demonstrated on internet explorer using script in a compiled help chm file that references the infotech storage its protocol handlers such as 1 ms its 2 ms itss 3 its or 4 mk msitstore aka the mhtml url processing vulnerability
CVE-2004-2204,"Macromedia ColdFusion MX 6.0 and 6.1 application server, when running with the CreateObject function or CFOBJECT tag enabled, allows local users to conduct unauthorized activities and obtain administrative passwords by creating CFML scripts that use CreateObject or CFOBJECT.",macromedia coldfusion mx 6 0 and 6 1 application server when running with the createobject function or cfobject tag enabled allows local users to conduct unauthorized activities and obtain administrative passwords by creating cfml scripts that use createobject or cfobject
CVE-2005-1742,"BEA WebLogic Server and WebLogic Express 8.1 SP2 and SP3 allows users with the Monitor security role to ""shrink or reset JDBC connection pools.""",bea weblogic server and weblogic express 8 1 sp2 and sp3 allows users with the monitor security role to shrink or reset jdbc connection pools
CVE-2005-1816,"Invision Power Board (IPB) 1.0 through 2.0.4 allows non-root admins to add themselves or other users to the root admin group via the ""Move users in this group to"" screen.",invision power board ipb 1 0 through 2 0 4 allows non root admins to add themselves or other users to the root admin group via the move users in this group to screen
CVE-2005-2027,"Enterasys Vertical Horizon VH-2402S before firmware 2.05.05.09 does not properly restrict certain debugging commands to the ADMIN account, which could allow attackers to obtain sensitive information or modify the registry.",enterasys vertical horizon vh 2402s before firmware 2 05 05 09 does not properly restrict certain debugging commands to the admin account which could allow attackers to obtain sensitive information or modify the registry
CVE-2005-2173,"The Flag::validate and Flag::modify functions in Bugzilla 2.17.1 to 2.18.1 and 2.19.1 to 2.19.3 do not verify that the flag ID is appropriate for the given bug or attachment ID, which allows users to change flags on arbitrary bugs and obtain a bug summary via process_bug.cgi.",the flag validate and flag modify functions in bugzilla 2 17 1 to 2 18 1 and 2 19 1 to 2 19 3 do not verify that the flag id is appropriate for the given bug or attachment id which allows users to change flags on arbitrary bugs and obtain a bug summary via process bug cgi
CVE-2005-1835,"NEXTWEB (i)Site stores databases under the web document root with insufficient access control, which allows remote attackers to obtain sensitive information via a direct request to databases/Users.mdb.",nextweb i site stores databases under the web document root with insufficient access control which allows remote attackers to obtain sensitive information via a direct request to databases users mdb
CVE-2021-33080,"Exposure of sensitive system information due to uncleared debug information in firmware for some Intel(R) SSD DC, Intel(R) Optane(TM) SSD and Intel(R) Optane(TM) SSD DC Products may allow an unauthenticated user to potentially enable information disclosure or escalation of privilege via physical access.",exposure of sensitive system information due to uncleared debug information in firmware for some intel r ssd dc intel r optane tm ssd and intel r optane tm ssd dc products may allow an unauthenticated user to potentially enable information disclosure or escalation of privilege via physical access
CVE-2022-31162,"Slack Morphism is an async client library for Rust. Prior to 0.41.0, it was possible for Slack OAuth client information to leak in application debug logs. Stricter and more secure debug formatting was introduced in v0.41.0 for OAuth secret types to reduce the possibility of printing sensitive information in application logs. As a workaround, do not print/output requests and responses for OAuth and client configurations in logs.",slack morphism is an async client library for rust prior to 0 41 0 it was possible for slack oauth client information to leak in application debug logs stricter and more secure debug formatting was introduced in v0 41 0 for oauth secret types to reduce the possibility of printing sensitive information in application logs as a workaround do not print output requests and responses for oauth and client configurations in logs
CVE-2020-12926,"The Trusted Platform Modules (TPM) reference software may not properly track the number of times a failed shutdown happens. This can leave the TPM in a state where confidential key material in the TPM may be able to be compromised. AMD believes that the attack requires physical access of the device because the power must be repeatedly turned on and off. This potential attack may be used to change confidential information, alter executables signed by key material in the TPM, or create a denial of service of the device.",the trusted platform modules tpm reference software may not properly track the number of times a failed shutdown happens this can leave the tpm in a state where confidential key material in the tpm may be able to be compromised amd believes that the attack requires physical access of the device because the power must be repeatedly turned on and off this potential attack may be used to change confidential information alter executables signed by key material in the tpm or create a denial of service of the device
CVE-2019-8575,"The issue was addressed with improved data deletion. This issue is fixed in AirPort Base Station Firmware Update 7.8.1, AirPort Base Station Firmware Update 7.9.1. A base station factory reset may not delete all user information.",the issue was addressed with improved data deletion this issue is fixed in airport base station firmware update 7 8 1 airport base station firmware update 7 9 1 a base station factory reset may not delete all user information
CVE-2005-0408,"CitrusDB 0.3.6 and earlier generates easily predictable MD5 hashes of the user name for the id_hash cookie, which allows remote attackers to bypass authentication and gain privileges by calculating the MD5 checksum of the user name combined with the ""boogaadeeboo"" string, which is hard-coded in the $hidden_hash variable.",citrusdb 0 3 6 and earlier generates easily predictable md5 hashes of the user name for the id hash cookie which allows remote attackers to bypass authentication and gain privileges by calculating the md5 checksum of the user name combined with the boogaadeeboo string which is hard coded in the hidden hash variable
CVE-2005-3435,"admin_news.php in Archilles Newsworld up to 1.3.0 allows attackers to bypass authentication by obtaining the password hash for another user, for example through another Newsworld vulnerability, and specifying the hash in the pwd argument.",admin news php in archilles newsworld up to 1 3 0 allows attackers to bypass authentication by obtaining the password hash for another user for example through another newsworld vulnerability and specifying the hash in the pwd argument
